Year;MonthOfYear;DayOfMonth;HourOfDay(UTC);DayOfYear;DayOfCentury;AirPressure(hPa);AirTemperature(C);AirTemperatureHygroClip(C);RelativeHumidity_wrtWater(%);RelativeHumidity(%);WindSpeed(m/s);WindDirection(d);ShortwaveRadiationDown(W/m2);ShortwaveRadiationDown_Cor(W/m2);ShortwaveRadiationUp(W/m2);ShortwaveRadiationUp_Cor(W/m2);Albedo_theta<70d;LongwaveRadiationDown(W/m2);LongwaveRadiationUp(W/m2);CloudCover;SurfaceTemperature(C);HeightSensorBoom(m);HeightStakes(m);DepthPressureTransducer(m);DepthPressureTransducer_Cor(m);IceTemperature1(C);IceTemperature2(C);IceTemperature3(C);IceTemperature4(C);IceTemperature5(C);IceTemperature6(C);IceTemperature7(C);IceTemperature8(C);TiltToEast(d);TiltToNorth(d);TimeGPS(hhmmssUTC);LatitudeGPS((dd)mm.mmmmm);LongitudeGPS((dd)mm.mmmmm);ElevationGPS(m);HorDilOfPrecGPS;LoggerTemperature(C);FanCurrent(mA);BatteryVoltage(V)
2020;9;16;19;-999;-999;849;-2.67;37;95.6;95.6;1.99;255.7;117.5;-999;94.9;-999;-999;-14;-5.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;20;-999;-999;849;-2.87;36.66;97.2;97.2;2.59;247.9;47.4;-999;38.7;-999;-999;-7.5;-1.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;21;-999;-999;850;-3.1;36.26;98.5;98.5;3.84;271.3;4;-999;3.5;-999;-999;-4.3;-.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;22;-999;-999;852;-3.44;35.9;98.7;98.7;3.54;267.9;-.2;-999;.1;-999;-999;-5.3;-.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;16;23;-999;-999;853;-3.79;35.58;98.3;98.3;4.13;262.3;-.3;-999;0;-999;-999;-4.9;-.5;-999;-999;0;1.083;-9999;-999;-32.62;-31.86;-32.12;-32.89;-33.64;-34.22;-34.67;-35.1;-2.76;2.82;-999;-999;-999;1264;.8;-999;135;13.51
2020;9;17;0;-999;-999;853;-4.67;34.71;98.1;98.1;4.35;288.5;-.3;-999;.1;-999;-999;-8.3;-.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;17;1;-999;-999;854;-5.49;33.88;97.9;97.9;2.6;305.6;-.4;-999;.2;-999;-999;-8.4;-1.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;17;2;-999;-999;855;-6.31;33.04;96.9;96.9;1.94;297.9;-.8;-999;.2;-999;-999;-9.1;-2.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;17;3;-999;-999;856;-6.21;33.04;97.3;97.3;2.2;306.7;-.2;-999;.3;-999;-999;-2.3;-.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;17;4;-999;-999;857;-6.26;33.11;96.7;96.7;2.31;315;-.6;-999;.2;-999;-999;-3.7;-1.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;17;5;-999;-999;858;-6.78;32.55;96.5;96.5;.93;283.6;-.7;-999;.3;-999;-999;-4.9;-4.2;-999;-999;2.396;1.078;-9999;-999;-32.63;-31.98;-32.23;-32.98;-33.73;-34.27;-34.74;-35.17;-2.8;2.81;-999;-999;-999;1263;.8;-999;131;12.8
2020;9;17;6;-999;-999;859;-7.54;31.73;95.9;95.9;.86;170.6;-.4;-999;.3;-999;-999;-.8;-2.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
